Team,Nationality,Position,Age,Potential,Name
Beijing Sinobo Guoan FC ,DR Congo,Segundo Delantero,29,Muy Bueno,Cédric Bakambu
Genoa ,Italy,Arquero,27,Muy Bueno,Mattia Perin
Real Sociedad ,Brazil,Segundo Delantero,28,Muy Bueno,Willian José
TSG 1899 Hoffenheim ,Germany,Arquero,30,Muy Bueno,Oliver Baumann
PFC CSKA Moscow ,Russia,Defensor Extremo Derecho | Mediocampista Derecho | Extremo Derecho,29,Muy Bueno,Mário Fernandes
Borussia Dortmund ,Denmark,Mediocampista Defensivo Central | Mediocampista Central,28,Muy Bueno,Thomas Delaney
FC Porto ,Mexico,Defensor Lateral Derecho | Mediocampista Derecho,27,Muy Bueno,Jesús Corona
Real Madrid ,France,Arquero,27,Muy Bueno,Alphonse Areola
Real Sociedad ,Spain,Mediocampista Defensivo Central | Mediocampista Central,30,Muy Bueno,Illarramendi
Shakhtar Donetsk ,Brazil,Mediocampista Izquierdo | Centrocampista Ofensivo Central,32,Muy Bueno,Taison
Roma ,Serbia,Defensor Lateral Izquierdo,34,Muy Bueno,Aleksandar Kolarov
Sevilla FC ,Brazil,Mediocampista Defensivo Central | Mediocampista Central,33,Muy Bueno,Fernando
Galatasaray SK ,Uruguay,Arquero,34,Muy Bueno,Fernando Muslera
Chelsea ,Brazil,Mediocampista Derecho | Extremo Derecho | Extremo Izquierdo,31,Muy Bueno,Willian
Atlético Madrid ,Spain,Segundo Delantero,31,Muy Bueno,Diego Costa
Villarreal CF ,Spain,Arquero,31,Muy Bueno,Sergio Asenjo
FC Bayern München ,Spain,Defensor Central | Mediocampista Defensivo Central,31,Muy Bueno,Javi Martínez
Olympique de Marseille ,France,Centrocampista Ofensivo Central | Extremo Izquierdo,33,Muy Bueno,Dimitri Payet
FC Porto ,Spain,Defensor Central,33,Muy Bueno,Marcano
Beijing Sinobo Guoan FC ,Brazil,Mediocampista Izquierdo | Mediocampista Central | Centrocampista Ofensivo Central,32,Muy Bueno,Renato Augusto
Jiangsu Suning FC ,Brazil,Defensor Central,35,Muy Bueno,Miranda
AS Saint-Étienne ,France,Arquero,33,Muy Bueno,Stéphane Ruffier
Galatasaray SK ,Colombia,Segundo Delantero,34,Muy Bueno,Falcao
Fiorentina ,France,Mediocampista Izquierdo | Delantero Centro | Extremo Izquierdo,37,Muy Bueno,Franck Ribéry
Atlético Madrid ,Mexico,Mediocampista Central,30,Muy Bueno,Héctor Herrera
Sevilla FC ,Spain,Defensor Lateral Derecho | Mediocampista Derecho,34,Muy Bueno,Jesús Navas
RSC Anderlecht ,Belgium,Defensor Central,34,Muy Bueno,Vincent Kompany
FC Porto ,Portugal,Defensor Central,37,Muy Bueno,Pepe
Vissel Kobe ,Spain,Mediocampista Izquierdo | Mediocampista Central | Centrocampista Ofensivo Central,36,Muy Bueno,Iniesta
Free Agents ,Ecuador,Segundo Delantero,31,Muy Bueno,Segundo Mandíquez
Free Agents ,Uruguay,Segundo Delantero | Delantero Centro,28,Muy Bueno,Luis Roberto Dálves
Free Agents ,Uruguay,Mediocampista Izquierdo | Centrocampista Ofensivo Central | Extremo Izquierdo,32,Muy Bueno,Saúl Marcelo Ardero
Free Agents ,Uruguay,Defensor Central | Mediocampista Defensivo Central,36,Muy Bueno,Jaime Nicolás Frendado
Real Betis ,Spain,Segundo Delantero,26,Muy Bueno,Loren
Real Madrid ,Brazil,Defensor Lateral Derecho | Defensor Central,22,Muy Bueno,Éder Militão
Valencia CF ,Uruguay,Segundo Delantero,23,Muy Bueno,Maximiliano Gómez
West Ham United ,Czech Republic,Mediocampista Defensivo Central | Mediocampista Central,25,Muy Bueno,Tomáš Soucek
Ajax ,Brazil,Centrocampista Ofensivo Central | Extremo Derecho,23,Muy Bueno,David Neres
Lazio ,Italy,Mediocampista Derecho,26,Muy Bueno,Manuel Lazzari
Olympique Lyonnais ,France,Mediocampista Izquierdo | Mediocampista Central,22,Muy Bueno,Houssem Aouar
Everton ,Brazil,Segundo Delantero | Mediocampista Derecho | Mediocampista Izquierdo,23,Muy Bueno,Richarlison
Santos ,Brazil,Segundo Delantero,20,Muy Bueno,Luimo Boas Santos
Palmeiras ,Brazil,Defensor Central,32,Muy Bueno,Tony Abranjes
Fluminense ,Brazil,Mediocampista Izquierdo | Centrocampista Ofensivo Central | Extremo Izquierdo,20,Muy Bueno,Laure Santeiro
Leicester City ,England,Defensor Lateral Izquierdo,23,Muy Bueno,Ben Chilwell
Bayer 04 Leverkusen ,Jamaica,Mediocampista Derecho | Mediocampista Izquierdo,22,Muy Bueno,Leon Bailey
Atlético Madrid ,Spain,Defensor Central,25,Muy Bueno,Mario Hermoso
Real Madrid ,France,Defensor Lateral Izquierdo,25,Muy Bueno,Ferland Mendy
FC Porto ,Mali,Segundo Delantero | Mediocampista Derecho,29,Muy Bueno,Moussa Marega
Atlético Madrid ,Spain,Mediocampista Defensivo Central | Mediocampista Central,25,Muy Bueno,Marcos Llorente
Real Betis ,Spain,Segundo Delantero,27,Muy Bueno,Borja Iglesias
Arsenal ,Uruguay,Mediocampista Defensivo Central | Mediocampista Central,24,Muy Bueno,Lucas Torreira
VfL Wolfsburg ,Netherlands,Segundo Delantero,27,Muy Bueno,Wout Weghorst
Arsenal ,Spain,Mediocampista Central | Centrocampista Ofensivo Central,23,Muy Bueno,Dani Ceballos
RB Leipzig ,Germany,Defensor Extremo Derecho | Defensor Lateral Derecho | Defensor Lateral Izquierdo | Extremo Derecho,24,Muy Bueno,Lukas Klostermann
Manchester United ,Sweden,Defensor Central,26,Muy Bueno,Victor Lindelöf
Levante UD ,Spain,Segundo Delantero | Mediocampista Derecho | Mediocampista Izquierdo,33,Muy Bueno,Morales
Leicester City ,Belgium,Mediocampista Central,23,Muy Bueno,Youri Tielemans
River Plate ,Argentina,Mediocampista Central | Centrocampista Ofensivo Central,30,Muy Bueno,Ignacio Fernández
Lazio ,Argentina,Segundo Delantero | Centrocampista Ofensivo Central | Delantero Centro,25,Muy Bueno,Joaquín Correa
Montpellier Hérault SC ,Argentina,Arquero,28,Muy Bueno,Gerónimo Rulli
Bayer 04 Leverkusen ,Germany,Defensor Central,24,Muy Bueno,Jonathan Tah
Lokomotiv Moscow ,Portugal,Mediocampista Izquierdo | Mediocampista Central | Centrocampista Ofensivo Central,27,Muy Bueno,João Mário
Juventus ,Italy,Mediocampista Derecho | Centrocampista Ofensivo Central,26,Muy Bueno,Federico Bernardeschi
SL Benfica ,Greece,Arquero,26,Muy Bueno,Odisseas Vlachodimos
Bayer 04 Leverkusen ,Germany,Mediocampista Central,27,Muy Bueno,Kerem Demirbay
Valencia CF ,Spain,Defensor Lateral Izquierdo,25,Muy Bueno,Gayà
Juventus ,Italy,Defensor Central,26,Muy Bueno,Daniele Rugani
RB Leipzig ,Germany,Defensor Lateral Izquierdo | Defensor Extremo Izquierdo | Extremo Izquierdo,28,Muy Bueno,Marcel Halstenberg
Napoli ,Poland,Mediocampista Izquierdo | Mediocampista Central,26,Muy Bueno,Piotr Zielinski
RB Leipzig ,Sweden,Mediocampista Izquierdo | Centrocampista Ofensivo Central,28,Muy Bueno,Emil Forsberg
Boca Juniors ,Argentina,Arquero,29,Muy Bueno,Esteban Andrada
Cagliari ,Italy,Arquero,26,Muy Bueno,Alessio Cragno
Paris Saint-Germain ,Spain,Defensor Lateral Izquierdo | Mediocampista Izquierdo,27,Muy Bueno,Juan Bernat
Everton ,England,Arquero,26,Muy Bueno,Jordan Pickford
Athletic Club ,Spain,Defensor Central,29,Muy Bueno,Iñigo Martínez
Guangzhou R&F FC ,Israel,Segundo Delantero | Extremo Izquierdo,33,Muy Bueno,Eran Zahavi
Chelsea ,France,Defensor Central,25,Muy Bueno,Kurt Zouma
Sevilla FC ,Czech Republic,Arquero,31,Muy Bueno,Tomáš Vaclík
Manchester City ,England,Defensor Central,26,Muy Bueno,John Stones
Valencia CF ,Italy,Defensor Lateral Derecho,29,Muy Bueno,Alessandro Florenzi
Sevilla FC ,Spain,Centrocampista Ofensivo Central | Extremo Derecho,26,Muy Bueno,Suso
VfL Wolfsburg ,France,Defensor Lateral Izquierdo | Mediocampista Izquierdo,27,Muy Bueno,Jérôme Roussillon
Watford ,Spain,Mediocampista Izquierdo | Delantero Centro,26,Muy Bueno,Deulofeu
Paris Saint-Germain ,Belgium,Defensor Lateral Derecho | Mediocampista Derecho,28,Muy Bueno,Thomas Meunier
Eintracht Frankfurt ,Austria,Defensor Central,27,Muy Bueno,Martin Hinteregger
Valencia CF ,Central African Rep.,Mediocampista Central,27,Muy Bueno,Geoffrey Kondogbia
RC Celta ,Brazil,Mediocampista Derecho | Mediocampista Central | Centrocampista Ofensivo Central,27,Muy Bueno,Rafinha
FC Porto ,Argentina,Arquero,32,Muy Bueno,Agustín Marchesín
AS Monaco Football Club SA ,France,Arquero,29,Muy Bueno,Benjamin Lecomte
Feyenoord ,Netherlands,Extremo Derecho,28,Muy Bueno,Steven Berghuis
R. Valladolid CF ,Spain,Arquero,31,Muy Bueno,Jordi Masip
Sporting CP ,Uruguay,Defensor Central,29,Muy Bueno,Sebastián Coates
RB Leipzig ,Slovenia,Mediocampista Defensivo Central | Mediocampista Central | Centrocampista Ofensivo Central,29,Muy Bueno,Kevin Kampl
Liverpool ,Switzerland,Mediocampista Derecho | Extremo Derecho,28,Muy Bueno,Xherdan Shaqiri
Roma ,Ermenia,Mediocampista Derecho | Centrocampista Ofensivo Central | Extremo Derecho,31,Muy Bueno,Henrikh Mkhitaryan
Chelsea ,Spain,Defensor Lateral Izquierdo | Defensor Extremo Izquierdo | Extremo Izquierdo,29,Muy Bueno,Marcos Alonso
Paris Saint-Germain ,Spain,Mediocampista Defensivo Central | Mediocampista Central,30,Muy Bueno,Ander Herrera
Boca Juniors ,Argentina,Mediocampista Derecho | Extremo Derecho,30,Muy Bueno,Eduardo Salvio
Shanghai Greenland Shenhua FC ,Italy,Mediocampista Izquierdo | Extremo Izquierdo,27,Muy Bueno,Stephan El Shaarawy
Besiktas JK ,Serbia,Centrocampista Ofensivo Central | Extremo Izquierdo,28,Muy Bueno,Adem Ljajic
Roma ,England,Defensor Central,30,Muy Bueno,Chris Smalling
Sevilla FC ,Netherlands,Segundo Delantero,29,Muy Bueno,Luuk de Jong
Milan ,Italy,Mediocampista Central,30,Muy Bueno,Giacomo Bonaventura
Torino ,Cameroon,Defensor Central,30,Muy Bueno,Nicolas Nkoulou
Shakhtar Donetsk ,Ukraine,Mediocampista Derecho | Centrocampista Ofensivo Central,32,Muy Bueno,Marlos
Brescia ,Italy,Segundo Delantero,29,Muy Bueno,Mario Balotelli
Atlético Madrid ,England,Defensor Lateral Derecho,29,Muy Bueno,Kieran Trippier
Fenerbahçe SK ,Brazil,Defensor Central | Mediocampista Defensivo Central,33,Muy Bueno,Luiz Gustavo
Al Nassr ,Brazil,Centrocampista Ofensivo Central,30,Muy Bueno,Giuliano
Inter ,Chile,Mediocampista Izquierdo | Extremo Izquierdo,31,Muy Bueno,Alexis Sánchez
Al Hilal ,Italy,Segundo Delantero | Centrocampista Ofensivo Central | Delantero Centro,33,Muy Bueno,Sebastian Giovinco
FC Bayern München ,Germany,Defensor Central,31,Muy Bueno,Jérôme Boateng
Athletic Club ,Spain,Defensor Lateral Izquierdo,30,Muy Bueno,Yuri Berchiche
Arsenal ,Brazil,Defensor Central,33,Muy Bueno,David Luiz
Milan ,Denmark,Defensor Central,31,Muy Bueno,Simon Kjær
Atlético Madrid ,Spain,Arquero,33,Muy Bueno,Adán
Bayer 04 Leverkusen ,Germany,Defensor Central | Mediocampista Defensivo Central,31,Muy Bueno,Sven Bender
Bayer 04 Leverkusen ,Germany,Defensor Lateral Derecho | Mediocampista Defensivo Central | Mediocampista Central,31,Muy Bueno,Lars Bender
Club Brugge KV ,Belgium,Arquero,32,Muy Bueno,Simon Mignolet
Arsenal ,Greece,Defensor Central,32,Muy Bueno,Sokratis
FC Girondins de Bordeaux ,France,Defensor Central,34,Muy Bueno,Laurent Koscielny
West Ham United ,Poland,Arquero,35,Muy Bueno,Lukasz Fabianski
Sassuolo ,Italy,Arquero,33,Muy Bueno,Andrea Consigli
Sampdoria ,Italy,Segundo Delantero,37,Muy Bueno,Fabio Quagliarella
Al Hilal ,France,Segundo Delantero,34,Muy Bueno,Bafétimbi Gomis
Tigres U.A.N.L. ,France,Segundo Delantero | Delantero Centro,34,Muy Bueno,André-Pierre Gignac
Liverpool ,England,Defensor Lateral Derecho | Defensor Lateral Izquierdo | Mediocampista Central,34,Muy Bueno,James Milner
Hertha BSC ,Norway,Arquero,35,Muy Bueno,Rune Almenning Jarstein
Free Agents ,Uruguay,Defensor Lateral Izquierdo | Mediocampista Izquierdo,32,Muy Bueno,Mauro Evidio Nérez
Free Agents ,Uruguay,Mediocampista Defensivo Central | Mediocampista Central,36,Muy Bueno,Matías David Baldona
Free Agents ,Uruguay,Arquero,32,Muy Bueno,Jorge Ezequiel Serendero
Sevilla FC ,Spain,Defensor Lateral Izquierdo | Mediocampista Izquierdo,23,Muy Bueno,Reguilón
SL Benfica ,Brazil,Segundo Delantero,25,Muy Bueno,Vinícius
Dynamo Kyiv ,Ukraine,Mediocampista Derecho | Mediocampista Izquierdo,22,Muy Bueno,Viktor Tsygankov
RB Leipzig ,Spain,Mediocampista Derecho | Mediocampista Izquierdo | Centrocampista Ofensivo Central,22,Muy Bueno,Dani Olmo
Atlético Madrid ,Portugal,Segundo Delantero | Mediocampista Izquierdo | Delantero Centro,20,Sobresaliente,João Félix
Dinamo Zagreb ,Croatia,Arquero,25,Muy Bueno,Dominik Livakovic
Borussia Dortmund ,Norway,Segundo Delantero,20,Sobresaliente,Erling Braut Haaland
RCD Espanyol ,Spain,Mediocampista Derecho | Mediocampista Central,22,Muy Bueno,Melendo
Tottenham Hotspur ,France,Mediocampista Defensivo Central | Mediocampista Central,23,Muy Bueno,Tanguy Ndombele
Valencia CF ,Spain,Mediocampista Derecho | Mediocampista Izquierdo | Mediocampista Central,23,Muy Bueno,Carlos Soler
Stade Rennais FC ,Brazil,Mediocampista Derecho | Extremo Derecho,23,Muy Bueno,Raphinha
RB Leipzig ,France,Segundo Delantero | Mediocampista Central | Centrocampista Ofensivo Central,22,Muy Bueno,Christopher Nkunku
Leicester City ,Turkey,Defensor Central,24,Muy Bueno,Çaglar Söyüncü
Cruzeiro ,Brazil,Defensor Lateral Izquierdo | Mediocampista Izquierdo,20,Muy Bueno,Welington Dano
São Paulo ,Brazil,Defensor Lateral Izquierdo | Defensor Extremo Izquierdo | Extremo Izquierdo,28,Muy Bueno,Adryan Zonta
Fluminense ,Brazil,Mediocampista Defensivo Central | Mediocampista Central,24,Muy Bueno,Everton Andrão
Flamengo ,Brazil,Arquero,24,Muy Bueno,Héniton Pires
RB Leipzig ,France,Defensor Central,21,Muy Bueno,Dayot Upamecano
SV Werder Bremen ,Kosovo,Delantero Centro | Extremo Derecho | Extremo Izquierdo,24,Muy Bueno,Milot Rashica
Roma ,Italy,Mediocampista Defensivo Central | Mediocampista Central | Centrocampista Ofensivo Central,24,Muy Bueno,Lorenzo Pellegrini
Borussia Mönchengladbach ,France,Segundo Delantero | Extremo Izquierdo,22,Muy Bueno,Marcus Thuram
Athletic Club ,Spain,Defensor Central,25,Muy Bueno,Yeray
Chelsea ,United States,Mediocampista Izquierdo | Extremo Derecho | Extremo Izquierdo,21,Muy Bueno,Christian Pulisic
Juventus ,Uruguay,Mediocampista Central,23,Muy Bueno,Rodrigo Bentancur
SD Eibar ,Serbia,Arquero,28,Muy Bueno,Marko Dmitrovic
FC Bayern München ,France,Defensor Lateral Derecho | Defensor Central,24,Muy Bueno,Benjamin Pavard
Paris Saint-Germain ,France,Defensor Lateral Izquierdo | Defensor Central,24,Muy Bueno,Abdou Diallo
AS Monaco Football Club SA ,Russia,Mediocampista Central | Centrocampista Ofensivo Central,24,Muy Bueno,Alexandr Golovin
Manchester United ,Ivory Coast,Defensor Central,26,Muy Bueno,Eric Bailly
RB Leipzig ,Austria,Defensor Lateral Derecho | Mediocampista Defensivo Central | Mediocampista Central,23,Muy Bueno,Konrad Laimer
Real Sociedad ,Spain,Mediocampista Central,24,Muy Bueno,Merino
Wolverhampton Wanderers ,Portugal,Delantero Centro | Extremo Izquierdo,23,Muy Bueno,Diogo Jota
Inter ,Italy,Mediocampista Central | Centrocampista Ofensivo Central,23,Muy Bueno,Nicolò Barella
Olympique Lyonnais ,Cameroon,Segundo Delantero | Mediocampista Izquierdo,27,Muy Bueno,Karl Toko-Ekambi
Olympique de Marseille ,France,Mediocampista Central | Centrocampista Ofensivo Central,25,Muy Bueno,Valentin Rongier
Getafe CF ,Spain,Segundo Delantero,31,Muy Bueno,Mata
Tottenham Hotspur ,England,Mediocampista Defensivo Central | Mediocampista Central,24,Muy Bueno,Harry Winks
Napoli ,Mexico,Segundo Delantero | Extremo Derecho | Extremo Izquierdo,24,Muy Bueno,Hirving Lozano
Olympique Lyonnais ,Belgium,Defensor Central,25,Muy Bueno,Jason Denayer
Inter ,Uruguay,Mediocampista Defensivo Central,28,Muy Bueno,Matias Vecino
AS Monaco Football Club SA ,France,Mediocampista Defensivo Central | Mediocampista Central,25,Muy Bueno,Tiemoué Bakayoko
Sevilla FC ,Brazil,Defensor Central,27,Muy Bueno,Diego Carlos
Newcastle United ,France,Segundo Delantero | Mediocampista Izquierdo | Extremo Izquierdo,23,Muy Bueno,Allan Saint-Maximin
Athletic Club ,Spain,Mediocampista Defensivo Central | Mediocampista Central,30,Muy Bueno,Dani García
Torino ,Italy,Defensor Central,28,Muy Bueno,Armando Izzo
OGC Nice ,Argentina,Arquero,27,Muy Bueno,Walter Benítez
Olympique de Marseille ,Argentina,Segundo Delantero,30,Muy Bueno,Darío Benedetto
River Plate ,Argentina,Arquero,33,Muy Bueno,Franco Armani
Olympique Lyonnais ,Brazil,Mediocampista Defensivo Central | Mediocampista Central,28,Muy Bueno,Thiago Mendes
Chelsea ,Denmark,Defensor Central,24,Muy Bueno,Andreas Christensen
Everton ,Portugal,Mediocampista Defensivo Central | Mediocampista Central,26,Muy Bueno,André Gomes
Olympique de Marseille ,France,Mediocampista Central | Centrocampista Ofensivo Central,25,Muy Bueno,Morgan Sanson
River Plate ,Colombia,Centrocampista Ofensivo Central,27,Muy Bueno,Juan Fernando Quintero
Manchester United ,Brazil,Mediocampista Defensivo Central | Mediocampista Central,27,Muy Bueno,Fred
AFC Bournemouth ,Netherlands,Defensor Central,25,Muy Bueno,Nathan Aké
Real Madrid ,Spain,Mediocampista Derecho | Extremo Derecho,29,Muy Bueno,Lucas Vázquez
TSG 1899 Hoffenheim ,Israel,Segundo Delantero,28,Muy Bueno,Munas Dabbur
Real Sociedad ,Belgium,Mediocampista Derecho | Extremo Derecho,25,Muy Bueno,Adnan Januzaj
SL Benfica ,Brazil,Mediocampista Defensivo Central | Mediocampista Central,26,Muy Bueno,Gabriel
Watford ,France,Mediocampista Defensivo Central | Mediocampista Central | Centrocampista Ofensivo Central,27,Muy Bueno,Abdoulaye Doucouré
Milan ,Turkey,Mediocampista Central | Extremo Izquierdo,26,Muy Bueno,Hakan Çalhanoglu
RB Leipzig ,Denmark,Segundo Delantero,26,Muy Bueno,Yussuf Poulsen
Sevilla FC ,Argentina,Mediocampista Izquierdo | Mediocampista Central | Centrocampista Ofensivo Central,31,Muy Bueno,Franco Vázquez
Aston Villa ,England,Mediocampista Central | Centrocampista Ofensivo Central | Extremo Izquierdo,24,Muy Bueno,Jack Grealish
Borussia Mönchengladbach ,France,Segundo Delantero | Extremo Izquierdo,27,Muy Bueno,Alassane Plea
Shakhtar Donetsk ,Ukraine,Mediocampista Defensivo Central,30,Muy Bueno,Taras Stepanenko
Manchester United ,England,Defensor Lateral Izquierdo,25,Muy Bueno,Luke Shaw
Sevilla FC ,Argentina,Extremo Derecho | Extremo Izquierdo,26,Muy Bueno,Lucas Ocampos
FC Schalke 04 ,Serbia,Defensor Central,27,Muy Bueno,Matija Nastasic
Manchester City ,France,Defensor Lateral Izquierdo,26,Muy Bueno,Benjamin Mendy
RB Leipzig ,Hungary,Defensor Central,27,Muy Bueno,Willi Orban
Toronto FC ,Spain,Centrocampista Ofensivo Central | Delantero Centro,28,Muy Bueno,Pozuelo
Atlético Madrid ,Croatia,Defensor Lateral Derecho,28,Muy Bueno,Šime Vrsaljko
Burnley ,England,Arquero,28,Muy Bueno,Nick Pope
FC Porto ,Cape Verde,Segundo Delantero,29,Muy Bueno,Zé Luís
Olympique de Marseille ,Spain,Defensor Central,30,Muy Bueno,Álvaro
Wolverhampton Wanderers ,France,Defensor Central,29,Muy Bueno,Willy Boly
Burnley ,England,Defensor Central,27,Muy Bueno,James Tarkowski
Torino ,Italy,Segundo Delantero,29,Muy Bueno,Simone Zaza
RCD Espanyol ,Spain,Mediocampista Izquierdo | Mediocampista Central | Centrocampista Ofensivo Central,26,Muy Bueno,Sergi Darder
FC Schalke 04 ,Senegal,Defensor Central | Mediocampista Defensivo Central,29,Muy Bueno,Salif Sané
Wolverhampton Wanderers ,Republic of Ireland,Defensor Extremo Derecho | Extremo Derecho,28,Muy Bueno,Matt Doherty
Real Betis ,Algeria,Defensor Central,28,Muy Bueno,Aïssa Mandi
Shakhtar Donetsk ,Brazil,Defensor Lateral Izquierdo,30,Muy Bueno,Ismaily
1. FC Köln ,Germany,Arquero,27,Muy Bueno,Timo Horn
Club Brugge KV ,Belgium,Mediocampista Central | Centrocampista Ofensivo Central,27,Muy Bueno,Hans Vanaken
Levante UD ,Spain,Mediocampista Defensivo Central | Mediocampista Central,27,Muy Bueno,Campaña
Atlético Madrid ,Spain,Segundo Delantero | Mediocampista Derecho | Mediocampista Izquierdo,30,Muy Bueno,Vitolo
Arsenal ,Switzerland,Mediocampista Defensivo Central | Mediocampista Central,27,Muy Bueno,Granit Xhaka
Atalanta ,Colombia,Segundo Delantero,29,Muy Bueno,Luis Muriel
Brighton & Hove Albion ,Australia,Arquero,28,Muy Bueno,Mathew Ryan
Liverpool ,England,Mediocampista Derecho | Mediocampista Central,26,Muy Bueno,Alex Oxlade-Chamberlain
VfL Wolfsburg ,France,Defensor Central | Mediocampista Defensivo Central | Mediocampista Central,29,Muy Bueno,Josuha Guilavogui
River Plate ,Argentina,Mediocampista Defensivo Central | Mediocampista Central,34,Muy Bueno,Enzo Pérez
Liverpool ,Croatia,Defensor Central,31,Muy Bueno,Dejan Lovren
Levante UD ,Spain,Arquero,29,Muy Bueno,Aitor
Manchester City ,Argentina,Defensor Central,32,Muy Bueno,Nicolás Otamendi
Borussia Dortmund ,Germany,Mediocampista Central | Centrocampista Ofensivo Central | Delantero Centro,28,Muy Bueno,Mario Götze
Manchester United ,Serbia,Mediocampista Defensivo Central | Mediocampista Central,31,Muy Bueno,Nemanja Matic
LOSC Lille ,France,Mediocampista Defensivo Central | Mediocampista Central,29,Muy Bueno,Benjamin André
